County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Park,0.57,0.41,5249.00,2940.00,12750.00,0.52,0.45,5004.00,2943.00,12483.00,0.56,0.41,4252.00,2135.00,9947.00,0.59,0.33,4967.00,2539.00,12143.00,0.57,0.40,5227.00,2639.00,14123.00
Phillips,0.74,0.25,1739.00,619.00,3024.00,0.71,0.28,1687.00,605.00,3056.00,0.72,0.26,1384.00,414.00,2350.00,0.77,0.19,1566.00,430.00,2699.00,0.79,0.20,1579.00,364.00,2831.00
Pitkin,0.30,0.68,3260.00,4263.00,13200.00,0.25,0.74,2655.00,4766.00,13305.00,0.30,0.68,1964.00,3880.00,10433.00,0.24,0.70,2127.00,4806.00,12436.00,0.23,0.75,1935.00,5245.00,13728.00
Prowers,0.71,0.28,2951.00,1907.00,6780.00,0.66,0.32,2929.00,1748.00,6688.00,0.67,0.31,2479.00,1289.00,5294.00,0.70,0.24,2898.00,1368.00,6152.00,0.72,0.26,3050.00,1292.00,6829.00
Pueblo,0.46,0.53,23048.00,44834.00,92475.00,0.42,0.57,24236.00,48297.00,102530.00,0.42,0.56,21309.00,39230.00,84186.00,0.46,0.46,25225.00,41880.00,98019.00,0.48,0.50,27691.00,40591.00,108598.00
Rio Blanco,0.80,0.19,2889.00,701.00,4492.00,0.77,0.21,2671.00,607.00,4388.00,0.81,0.17,2486.00,358.00,3516.00,0.81,0.13,2671.00,338.00,3811.00,0.83,0.15,2723.00,264.00,4187.00
Rio Grande,0.62,0.36,3430.00,2789.00,8282.00,0.54,0.45,3197.00,2487.00,7446.00,0.53,0.45,2640.00,1938.00,5894.00,0.56,0.36,2766.00,2161.00,6682.00,0.58,0.40,2820.00,2074.00,7453.00
Routt,0.44,0.54,5486.00,4557.00,16847.00,0.36,0.63,5307.00,5393.00,17645.00,0.41,0.57,4420.00,4303.00,14463.00,0.37,0.54,4674.00,5103.00,16698.00,0.35,0.63,4492.00,5544.00,18989.00
Saguache,0.41,0.57,1040.00,1813.00,4022.00,0.35,0.63,876.00,1891.00,3817.00,0.33,0.64,708.00,1552.00,3200.00,0.40,0.50,831.00,1659.00,3608.00,0.42,0.56,867.00,1625.00,4157.00
San Juan,0.44,0.52,158.00,187.00,649.00,0.44,0.53,140.00,174.00,591.00,0.42,0.53,123.00,160.00,576.00,0.42,0.52,134.00,171.00,592.00,0.36,0.61,127.00,172.00,650.00
San Miguel,0.27,0.72,1477.00,2546.00,7101.00,0.21,0.77,1103.00,2715.00,6287.00,0.27,0.71,828.00,2002.00,4498.00,0.24,0.69,903.00,2487.00,5235.00,0.22,0.76,853.00,2615.00,5872.00
Sedgwick,0.71,0.28,985.00,380.00,1771.00,0.63,0.35,1055.00,396.00,1887.00,0.66,0.31,859.00,264.00,1473.00,0.74,0.20,903.00,252.00,1587.00,0.78,0.21,909.00,251.00,1675.00
Summit,0.39,0.59,6976.00,5617.00,21948.00,0.33,0.66,5610.00,6121.00,21472.00,0.36,0.61,4059.00,4791.00,16313.00,0.32,0.59,4558.00,6185.00,19852.00,0.29,0.68,3932.00,6614.00,21323.00
Teller,0.68,0.30,8237.00,3326.00,16837.00,0.63,0.35,8297.00,3410.00,17626.00,0.65,0.32,7197.00,2479.00,14073.00,0.67,0.25,8159.00,2783.00,16688.00,0.66,0.31,8712.00,2780.00,18996.00
Washington,0.81,0.18,2142.00,489.00,3172.00,0.78,0.21,2115.00,440.00,3167.00,0.80,0.18,1937.00,295.00,2702.00,0.84,0.11,2184.00,276.00,2998.00,0.86,0.12,2241.00,254.00,3324.00
Weld,0.63,0.36,49823.00,30333.00,122451.00,0.53,0.45,52988.00,35946.00,139501.00,0.55,0.43,48984.00,30624.00,124736.00,0.57,0.34,60805.00,37270.00,159017.00,0.58,0.40,70934.00,41833.00,197843.00
Yuma,0.76,0.23,3113.00,1296.00,6226.00,0.73,0.25,3010.00,1145.00,5943.00,0.77,0.22,2705.00,826.00,4866.00,0.80,0.15,3067.00,837.00,5524.00,0.82,0.16,3109.00,635.00,5730.00
